Date,Low,Open,Close,High
2014-10-26 00:00:00,343.45,346.11,351.54,358.04
2014-10-27 00:00:00,346.14,351.54,348.96,355.63
2014-10-28 00:00:00,348.02,348.96,351.9,354.76
2014-10-29 00:00:00,332.72,351.9,333.38,352.13
2014-10-30 00:00:00,332.88,333.38,343.78,350.44
2014-10-31 00:00:00,335.7,343.78,336.8,346.88
2014-11-01 00:00:00,320.32,336.8,325.39,338.45
2014-11-02 00:00:00,319.41,325.39,323.74,328.8
2014-11-03 00:00:00,323.56,323.74,324.23,333.76
2014-11-04 00:00:00,321.01,324.23,328.28,330.28
2014-11-05 00:00:00,328.28,328.28,337.14,341.68
2014-11-06 00:00:00,336.08,337.14,348.23,351.61
2014-11-07 00:00:00,340.19,348.23,341.08,351.47
2014-11-08 00:00:00,340.76,341.08,344.03,345.91
2014-11-09 00:00:00,342.55,344.03,363.31,363.99
2014-11-10 00:00:00,357.5,363.31,365.29,374.73
2014-11-11 00:00:00,360.58,365.29,366.99,370.92
2014-11-12 00:00:00,366.99,366.99,427.24,431.99
2014-11-13 00:00:00,385.87,427.24,417.15,458.15
2014-11-14 00:00:00,381.94,417.15,398.43,418.26
2014-11-15 00:00:00,368.6,398.43,375.13,406.18
2014-11-16 00:00:00,372.79,375.13,388.55,393.29
2014-11-17 00:00:00,375.6,388.55,385.86,410.21
2014-11-18 00:00:00,369.7,385.86,372.38,390.78
2014-11-19 00:00:00,371.44,372.38,377.24,385.33
2014-11-20 00:00:00,353.52,377.24,356.14,379.2
2014-11-21 00:00:00,342.2,356.14,348.86,356.21
2014-11-22 00:00:00,348.86,348.86,352.04,363.78
2014-11-23 00:00:00,351.74,352.04,366.77,370.86
2014-11-24 00:00:00,365.15,366.77,375.24,388.73
2014-11-25 00:00:00,374.12,375.24,375.72,393.26
2014-11-26 00:00:00,365.32,375.72,368.51,377.74
2014-11-27 00:00:00,367.56,368.51,369.14,373.45
2014-11-28 00:00:00,358.18,369.14,375.85,381.61
2014-11-29 00:00:00,372.35,375.85,375.22,385.65
2014-11-30 00:00:00,373.56,375.22,377.09,381.75
2014-12-01 00:00:00,375.49,377.09,378.64,382.66
2014-12-02 00:00:00,377.71,378.64,381.54,383.72
2014-12-03 00:00:00,374.11,381.54,374.97,383.08
2014-12-04 00:00:00,367.46,374.97,369.15,378.2
2014-12-05 00:00:00,365.68,369.15,376.04,378.34
2014-12-06 00:00:00,371.03,376.04,374.02,377.78
2014-12-07 00:00:00,372.78,374.02,374.26,375.92
2014-12-08 00:00:00,360.94,374.26,360.94,375.15
2014-12-09 00:00:00,344.29,360.94,351.27,362.28
2014-12-10 00:00:00,344.62,351.27,344.62,351.77
2014-12-11 00:00:00,337.68,344.62,347.13,361.11
2014-12-12 00:00:00,346.47,347.13,350.94,354.23
2014-12-13 00:00:00,344.9,350.94,347.47,351.11
2014-12-14 00:00:00,345.75,347.47,351.14,353.23
2014-12-15 00:00:00,344.01,351.14,345.1,351.25
2014-12-16 00:00:00,325.73,345.1,326.08,345.29
2014-12-17 00:00:00,314.58,326.08,319.17,333.26
2014-12-18 00:00:00,303.92,319.17,310.75,323.41
2014-12-19 00:00:00,306.47,310.75,317.01,317.74
2014-12-20 00:00:00,315.24,317.01,329.57,330.95
2014-12-21 00:00:00,317.62,329.57,319.24,329.57
2014-12-22 00:00:00,319.04,319.24,330.67,332.5
2014-12-23 00:00:00,328.22,330.67,334.05,335.95
2014-12-24 00:00:00,320.59,334.05,321.88,334.07
2014-12-25 00:00:00,317.08,321.88,318.61,322.36
2014-12-26 00:00:00,316.31,318.61,327.16,330.61
2014-12-27 00:00:00,312.16,327.16,315.17,327.95
2014-12-28 00:00:00,310.7,315.17,316.8,318.45
2014-12-29 00:00:00,311.84,316.8,312.44,319.78
2014-12-30 00:00:00,308.95,312.44,309.87,314.53
2014-12-31 00:00:00,309.42,309.87,319.7,319.7
2015-01-01 00:00:00,313.62,319.7,313.92,319.7
2015-01-02 00:00:00,312.77,313.92,314.59,315.72
2015-01-03 00:00:00,279.85,314.59,279.85,314.9
2015-01-04 00:00:00,257.09,279.85,263.63,286.36
2015-01-05 00:00:00,263.63,263.63,272.95,278
2015-01-06 00:00:00,271.11,272.95,285.58,287.21
2015-01-07 00:00:00,283.06,285.58,294.88,300.3
2015-01-08 00:00:00,282.58,294.88,283.25,294.98
2015-01-09 00:00:00,280.41,283.25,288.84,291.45
2015-01-10 00:00:00,272.86,288.84,274.07,289.67
2015-01-11 00:00:00,263.94,274.07,265.37,279.07
2015-01-12 00:00:00,264.26,265.37,267.09,271.79
2015-01-13 00:00:00,219.69,267.09,226.98,267.3
2015-01-14 00:00:00,170.21,226.98,177.28,226.98
2015-01-15 00:00:00,174.94,177.28,210.46,229.31
2015-01-16 00:00:00,199.18,210.46,207.22,222.01
2015-01-17 00:00:00,195.19,207.22,199.62,211.51
2015-01-18 00:00:00,194.55,199.62,209.93,218.98
2015-01-19 00:00:00,206.66,209.93,213.98,216.68
2015-01-20 00:00:00,204.8,213.98,210.48,214.41
2015-01-21 00:00:00,210.48,210.48,225.98,226.9
2015-01-22 00:00:00,225.16,225.98,232.66,236.84
2015-01-23 00:00:00,224.4,232.66,232.97,235.03
2015-01-24 00:00:00,230.21,232.97,247.99,248.44
2015-01-25 00:00:00,243.3,247.99,254.51,255.76
2015-01-26 00:00:00,254.51,254.51,271.95,307.97
2015-01-27 00:00:00,250.94,271.95,262.06,274.88
2015-01-28 00:00:00,225.27,262.06,233.21,265.14
2015-01-29 00:00:00,220.1,233.21,232.4,238.06
2015-01-30 00:00:00,225.29,232.4,226.5,242.72
2015-01-31 00:00:00,216.11,226.5,216.91,233.53
2015-02-01 00:00:00,211.53,216.91,226.4,231.92
2015-02-02 00:00:00,222.22,226.4,237.54,242.22
2015-02-03 00:00:00,224.11,237.54,226.96,246.19
2015-02-04 00:00:00,220.72,226.96,226.73,230.02
2015-02-05 00:00:00,214.66,226.73,216.77,227.96
2015-02-06 00:00:00,216.37,216.77,222.48,225.54
2015-02-07 00:00:00,222.48,222.48,227.33,230.16
2015-02-08 00:00:00,219.96,227.33,222.87,229.33
2015-02-09 00:00:00,217.04,222.87,220.17,223.95
2015-02-10 00:00:00,215.45,220.17,220.08,222.21
2015-02-11 00:00:00,218.17,220.08,219.49,223.55
2015-02-12 00:00:00,217.62,219.49,221.85,222.18
2015-02-13 00:00:00,221.07,221.85,235.79,240.24
2015-02-14 00:00:00,235.75,235.79,257.47,260.46
2015-02-15 00:00:00,226.91,257.47,234.33,267.35
2015-02-16 00:00:00,228.31,234.33,233.56,239.59
2015-02-17 00:00:00,232.13,233.56,243.6,246.14
2015-02-18 00:00:00,231.75,243.6,236.21,244.35
2015-02-19 00:00:00,235.46,236.21,239.83,243.11
2015-02-20 00:00:00,239.22,239.83,243.78,247.14
2015-02-21 00:00:00,242.93,243.78,244.26,246.46
2015-02-22 00:00:00,233.07,244.26,235.53,246.23
2015-02-23 00:00:00,231.77,235.53,238.08,239.63
2015-02-24 00:00:00,235.74,238.08,238.76,239.49
